Animal,Mês,Estação,Km,Trecho,Sentido,Trecho macro,Hora da Coleta,Tipo De Pistas,Numero de Pistas,Tipo de Pavimento,Numero de Faixas,Velocidade Maxima,Tipo da Chuva,Intervencao,Vazamento,Agua?,Vegetação Baixa?,capimAlto,Arbustos,Floresta,Local,Com filhotes?,Faixa de Horario,Faixa de Quilometragem
jacaré-de-papo-amarelo,4,Outono,114,2,JF,Baixada,01:55:00,Sem divisão,1,Pavimento flexível (asfalto),4,110,Sem chuva,Desconhecido,Desconhecido,sim,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Pista de rolamento,Desconhecido,Entre 00 e 03,Entre 100 e 125
jararacussu,4,Outono,87,4,JF,Serra,09:10:00,Sem divisão,1,Pavimento rígido,2,60,Sem chuva,não,Desconhecido,sim,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Pista de rolamento,Desconhecido,Entre 09 e 12,Entre 75 e 100
sabiá-laranjeira,5,Outono,82,5,JF,Serra,16:30:00,Sem divisão,1,Pavimento semi-flexível,2,60,Sem chuva,não,Desconhecido,sim,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Entre 15 e 18,Entre 75 e 100
capivara,6,Outono,65,7,RJ,Planalto,06:47:00,Defensa Metálica,2,Pavimento flexível (asfalto),4,60,Sem chuva,não,Desconhecido,sim,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Acostamento,Desconhecido,Entre 06 e 09,Entre 50 e 75
tamanduá-mirim,6,Outono,102,3,RJ,Serra,15:55:00,Defensa Metálica,2,Pavimento flexível (asfalto),4,80,Sem chuva,não,Desconhecido,não,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Acesso/ Retorno,Desconhecido,Entre 15 e 18,Entre 100 e 125
murucutu,6,Outono,91,4,RJ,Serra,12:00:00,Sem divisão,1,Pavimento semi-flexível,2,60,Sem chuva,não,Desconhecido,não,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Acostamento,Desconhecido,Entre 12 e 15,Entre 75 e 100
ouriço-cacheiro,7,Inverno,66,6,RJ,Planalto,11:55:00,Defensa Metálica,2,Pavimento flexível (asfalto),4,80,Sem chuva,não,Desconhecido,sim,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Acostamento,Desconhecido,Entre 09 e 12,Entre 50 e 75
capivara,7,Inverno,31,10,RJ,Planalto,06:36:00,Defensa Metálica,2,Pavimento flexível (asfalto),2,80,Sem chuva,não,Desconhecido,sim,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Acostamento,Desconhecido,Entre 06 e 09,Entre 25 e 50
mão-pelada,8,Inverno,115,2,JF,Baixada,05:02:00,Barreira rígida (New Jersey),2,Pavimento flexível (asfalto),8,110,Sem chuva,não,Desconhecido,sim,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Pista de rolamento,Desconhecido,Entre 03 e 06,Entre 100 e 125
capivara,8,Inverno,51,8,JF,Planalto,23:00:00,Defensa Metálica,2,Pavimento flexível (asfalto),4,80,Sem chuva,não,Desconhecido,sim,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Pista de rolamento,Desconhecido,Entre 21 e 00,Entre 50 e 75
capivara,9,Inverno,36,9,RJ,Planalto,20:30:00,Defensa Metálica,2,Pavimento flexível (asfalto),4,80,Sem chuva,não,Desconhecido,sim,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Pista de rolamento,Desconhecido,Entre 18 e 21,Entre 25 e 50
teiú,10,Primavera,88,4,JF,Serra,11:10:00,Sem divisão,1,Pavimento semi-flexível,2,80,Sem chuva,não,Desconhecido,sim,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Pista de rolamento,Desconhecido,Entre 09 e 12,Entre 75 e 100
capivara,10,Primavera,52,8,JF,Planalto,02:51:00,Defensa Metálica,2,Pavimento flexível (asfalto),4,80,Sem chuva,não,Desconhecido,sim,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Pista de rolamento,Desconhecido,Entre 00 e 03,Entre 50 e 75
araçari-poca,10,Primavera,85,5,JF,Serra,17:50:00,Sem divisão,1,Pavimento semi-flexível,2,60,Sem chuva,não,Desconhecido,sim,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Pista de rolamento,Desconhecido,Entre 15 e 18,Entre 75 e 100
ouriço-cacheiro,1,Verão,72,6,RJ,Serra,12:50:00,Sem divisão,1,Pavimento flexível (asfalto),2,110,Sem chuva,não,Desconhecido,sim,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Pista de rolamento,Desconhecido,Entre 12 e 15,Entre 50 e 75
guariba,2,Verão,76,5,RJ,Serra,10:06:00,Canteiro divisório,2,Pavimento flexível (asfalto),2,80,Sem chuva,não,Desconhecido,sim,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Pista de rolamento,Desconhecido,Entre 09 e 12,Entre 75 e 100
furão,2,Verão,102,3,JF,Serra,10:25:00,Sem divisão,1,Pavimento flexível (asfalto),2,60,Sem chuva,não,Desconhecido,não,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Pista de rolamento,Desconhecido,Entre 09 e 12,Entre 100 e 125
gambá-de-orelha-preta,2,Verão,79,5,JF,Serra,08:58:00,Sem divisão,1,Pavimento flexível (asfalto),2,60,Sem chuva,não,Desconhecido,não,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Pista de rolamento,Desconhecido,Entre 06 e 09,Entre 75 e 100
preguiça-comum,2,Verão,94,4,RJ,Serra,09:38:00,Sem divisão,1,Pavimento flexível (asfalto),2,60,Sem chuva,não,Desconhecido,sim,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Pista de rolamento,Desconhecido,Entre 09 e 12,Entre 75 e 100
capivara,3,Verão,43,9,JF,Planalto,06:00:00,Barreira rígida (New Jersey),2,Pavimento flexível (asfalto),4,110,Sem chuva,não,Desconhecido,sim,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Pista de rolamento,Desconhecido,Entre 06 e 09,Entre 25 e 50
ouriço-cacheiro,3,Verão,83,5,RJ,Serra,09:00:00,Sem divisão,1,Pavimento flexível (asfalto),2,60,Sem chuva,não,Desconhecido,sim,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Acostamento,Desconhecido,Entre 09 e 12,Entre 75 e 100
ouriço-cacheiro,3,Verão,85,5,JF,Serra,08:44:00,Sem divisão,1,Pavimento semi-flexível,2,60,Sem chuva,não,Desconhecido,sim,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Pista de rolamento,Desconhecido,Entre 06 e 09,Entre 75 e 100
ouriço-cacheiro,3,Verão,85,5,JF,Serra,08:00:00,Sem divisão,1,Pavimento semi-flexível,2,60,Sem chuva,não,Desconhecido,sim,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Acostamento,Desconhecido,Entre 06 e 09,Entre 75 e 100
teiú,3,Verão,88,4,RJ,Serra,09:35:00,Sem divisão,1,Pavimento semi-flexível,2,60,Sem chuva,não,Desconhecido,não,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Acostamento,Desconhecido,Entre 09 e 12,Entre 75 e 100
corujinha-sapo,3,Verão,94,4,RJ,Serra,10:00:00,Sem divisão,1,Pavimento flexível (asfalto),2,60,Sem chuva,não,Desconhecido,não,Desconhecido,Desconhecido,Desconhecido,Desconhecido,"Acostamento, sarjeta",Desconhecido,Entre 09 e 12,Entre 75 e 100
gavião-carijó,3,Verão,93,4,RJ,Serra,14:30:00,Sem divisão,1,Pavimento semi-flexível,2,80,Sem chuva,não,Desconhecido,sim,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Acostamento,Desconhecido,Entre 12 e 15,Entre 75 e 100
corujinha-do-mato,3,Verão,98,3,RJ,Serra,15:20:00,Sem divisão,1,Pavimento flexível (asfalto),2,110,Sem chuva,não,Desconhecido,sim,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Acostamento,Desconhecido,Entre 15 e 18,Entre 75 e 100
caninana,4,Outono,88,4,RJ,Serra,10:45:00,Sem divisão,1,Pavimento semi-flexível,2,60,Sem chuva,não,Desconhecido,sim,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Acostamento,Desconhecido,Entre 09 e 12,Entre 75 e 100
murucutu,4,Outono,88,4,RJ,Serra,23:00:00,Sem divisão,2,Pavimento rígido,2,60,Sem chuva,não,Desconhecido,sim,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Pista de rolamento,Desconhecido,Entre 21 e 00,Entre 75 e 100
