OBJECTID;DATA;ID;TAX;NOM_COM;GR_FAU;ST_POPU;ST_CS_BR;MD_TRAN;MUN;UF;x;y;ANO;MES;MES_TEXTO;MUNICIPIO;CDIBGE;RGI_GOV;MICRORGI;NOTFI
2176;21/10/2015;2;Accipiter striatus;Gaviao_miudo;Ave;Crescendo;Pouco Preocupante;BR-040;Comendador Levy Gasparian;RJ;-43.22163139;-22.03625284;2015;10;outubro;Comendador Levy Gasparian;330095;Região Centro-Sul Fluminense;Três Rios;1
2175;24/11/2014;1;Accipiter striatus;Gaviao_miudo;Ave;Crescendo;Pouco Preocupante;BR-040;Petropolis;RJ;-43.23470401;-22.52739074;2014;11;novembro;Petrópolis;330390;Região Serrana;Serrana;1
2178;04/08/2015;4;Akodon cursor;Rato_da_mata;Mamífero;Desconhecido;Pouco Preocupante;BR-040;Tres Rios;RJ;-43.16128296;-22.17000467;2015;8;agosto;Três Rios;330600;Região Centro-Sul Fluminense;Três Rios;1
2177;25/07/2014;3;Akodon cursor;Rato_da_mata;Mamífero;Desconhecido;Pouco Preocupante;BR-040;Duque de Caxias;RJ;-43.27729095;-22.58619263;2014;7;julho;Duque de Caxias;330170;Região Metropolitana;Rio de Janeiro;1
2182;20/07/2021;8;Akodon sp.;x;Mamífero;x;x;BR-040;Comendador Levy Gasparian;RJ;-43.23767687;-22.01873378;2021;7;julho;Comendador Levy Gasparian;330095;Região Centro-Sul Fluminense;Três Rios;1
2181;26/07/2019;7;Akodon sp.;x;Mamífero;x;x;BR-040;Petropolis;RJ;-43.13031409;-22.2994252;2019;7;julho;Petrópolis;330390;Região Serrana;Serrana;1
2180;20/08/2015;6;Akodon sp.;x;Mamífero;x;x;BR-040;Tres Rios;RJ;-43.15853284;-22.14962678;2015;8;agosto;Três Rios;330600;Região Centro-Sul Fluminense;Três Rios;1
2179;19/05/2014;5;Akodon sp.;x;Mamífero;x;x;BR-040;Areal;RJ;-43.11926801;-22.23062768;2014;5;maio;Areal;330022;Região Centro-Sul Fluminense;Três Rios;1
2183;27/02/2020;9;Alopochen aegyptiaca;Ganso_do_egito;Ave;Em queda;Pouco Preocupante;BR-040;Petropolis;RJ;-43.13871336;-22.40284245;2020;2;fevereiro;Petrópolis;330390;Região Serrana;Serrana;1
2187;27/12/2015;13;Alouatta guariba;Bugio_ruivo;Mamífero;Em queda;Vulnerável;BR-040;Petropolis;RJ;-43.22630909;-22.55446325;2015;12;dezembro;Petrópolis;330390;Região Serrana;Serrana;1
2186;18/02/2013;12;Alouatta guariba;Bugio_ruivo;Mamífero;Em queda;Vulnerável;BR-040;Petropolis;RJ;-43.2204992;-22.46072182;2013;2;fevereiro;Petrópolis;330390;Região Serrana;Serrana;1
2185;25/06/2009;11;Alouatta guariba;Bugio_ruivo;Mamífero;Em queda;Vulnerável;BR-040;Petropolis;RJ;-43.23383472;-22.53382926;2009;6;junho;Petrópolis;330390;Região Serrana;Serrana;1
2184;09/02/2007;10;Alouatta guariba;Bugio_ruivo;Mamífero;Em queda;Vulnerável;BR-040;Petropolis;RJ;-43.2199098;-22.45970386;2007;2;fevereiro;Petrópolis;330390;Região Serrana;Serrana;1
1163;10/07/2017;1;Alouatta guariba clamitans;Bugio_ruivo;Mamífero;Em queda;Vulnerável;BR-492;Nova Friburgo;RJ;-42.62804794;-22.257061;2017;7;julho;Nova Friburgo;330340;Região Serrana;Nova Friburgo;1
1164;19/01/2018;2;Alouatta guariba clamitans;Bugio_ruivo;Mamífero;Em queda;Vulnerável;RJ-168;Macae;RJ;-41.8751297;-22.35947037;2018;1;janeiro;Macaé;330240;Região Norte Fluminense;Macaé;1
2188;05/09/2016;14;Amazonetta brasiliensis;Pe_vermelho;Ave;Em queda;Pouco Preocupante;BR-040;Petropolis;RJ;-43.13374188;-22.39112652;2016;9;setembro;Petrópolis;330390;Região Serrana;Serrana;1
2189;21/09/2017;15;Amazonetta brasiliensis;Pe_vermelho;Ave;Em queda;Pouco Preocupante;BR-040;Petropolis;RJ;-43.13657533;-22.4014903;2017;9;setembro;Petrópolis;330390;Região Serrana;Serrana;1
